,a,v(6),v(12),v(24),v(48),t,sv,sz,st,run,subj_idx
63,2.252205103947318,0.6226444205748526,0.6363968983845327,2.308085612071127,3.571540377229451,0.5354151453773501,0.43929110186932957,0.7838236507792012,0.3654438860106829,1,903
64,4.157869048496442,0.16493028544455915,0.9234515090012523,1.7188937583195387,2.731640603361294,0.5343640961173224,0.6974469796278838,0.6075630222214138,0.0006106902203318304,0,911
65,3.9242250178881006,0.09372970022349199,1.2359141067120976,1.915881151093774,3.1203950279827213,0.5266536280548989,0.7610531651090188,0.546760353451158,0.0003312095745045327,1,911
66,2.1880227640370133,0.8191834694640547,0.8076720906962189,1.8798773169279215,2.2418783117408254,0.3597351973626993,1.2111091839871184,0.11784366845321892,0.5055977535816893,0,917
67,2.416436467661406,0.33404522816160576,0.6921124023239391,1.9783674052530629,1.8309499705925478,0.42204864863109887,0.8019990025569358,0.4642085452331249,0.4970368120729841,1,917
68,2.5342238814043614,0.2607366067825696,0.5494361398219014,1.6328029689749202,3.4638317477250826,0.8693374772224485,1.2165908265417082,0.7149584946216333,0.9150850435098158,0,918
69,2.7396310345044195,0.2524266061482697,1.0709997908044337,2.09711973676441,2.2118816567849344,0.7139134765834033,0.9103525971529932,0.746572611389059,0.5383592006753615,1,918
70,3.483396542862939,0.8305852292639259,1.2712711383675592,1.2403370308580084,2.4617813038927276,0.4414008803662322,0.8054940020437854,0.8351671740986046,0.6437849234773823,0,920
71,2.782507695920659,0.774598798090308,0.8026341596261793,1.3375050522055039,1.871646735971867,0.6408177645302582,0.23631189902143668,0.982273246244076,0.8029643195453627,1,920
72,2.563135193936238,0.7641649235278347,1.2946758874501048,1.2682701099594302,1.3214862403947578,0.2194958505201878,3.0068335622295427e-12,0.7973255743554294,0.00014295921604575966,0,922
73,2.4460864187844638,0.580238774490332,0.8263615281696702,1.5079490053020332,1.6355211069377908,0.2929349632207484,0.3367132425240991,0.5734324656067714,0.39692114822077534,1,922
74,3.208164510910222,0.8981918667160071,0.8217424144360923,1.6008991432771964,1.9446553936166784,0.4534830218033509,0.7338081987991815,1.5655822228291434e-11,3.0906818697179215e-08,0,928
75,2.9371864676901756,0.8815470603742981,1.6997535451517822,2.9267844830861964,2.424177180855453,0.7229472793562285,1.4757873045298076,0.7698349330937542,0.7913342452383968,1,928
76,2.1942044552333426,0.03173866177537288,1.139536502780219,1.7077927548320286,2.9210419867356037,0.4174119574983878,0.9917352489641544,0.1280375029393105,0.5147392056799492,0,930
77,2.4188868140139665,0.8953779702737047,1.603942813189368,2.4406731499070444,7.16240895335654,0.5628246257643267,0.7916508946019403,0.7457988281724095,0.7999568885187893,1,930
78,2.588978762816037,0.5014245836370834,1.2545067849992735,1.8177093593572875,3.401860027528956,0.5219411421203415,2.130535019878019,0.12638094207254214,0.12587084725845576,0,931
79,2.6863992498589346,0.7599929860204526,1.7205593524656213,1.949620488406849,2.638292146798466,0.5853411426577826,1.6693251842971875,0.7036997209855744,0.46853142197931397,1,931
80,3.1840474210475667,0.19083728928681257,0.47159739417453717,1.9537479210159971,2.4487671760130607,0.24946988481758486,0.5181872406656007,1.4054574290530015e-11,0.00010533548812744076,0,933
81,2.6887059108332143,0.26549053207221607,0.7106273049068524,1.5523155608521395,2.4014219326609307,0.3733431200982406,0.3230784630943821,0.35217474314693104,1.0079822915803113e-10,1,933
82,3.6071937830711516,1.0802436754175637,1.3631319491022256,1.9724604477659406,2.076597934800969,0.06063430318283451,0.5520086972821836,1.3247748397757487e-09,8.836144686045088e-13,0,939
83,4.528762245318596,1.4157637897847042,1.5146568551828035,2.2395901224619448,2.936954645003821,0.06397147260871795,0.7363555242723022,0.24342220105077259,1.0491355569263185e-11,1,939
84,3.08198672580702,0.9701567482753684,2.5554754186538178,3.5873510332719434,4.038454844275433,0.47430723729149304,1.1752047410271218,0.00014784153909081792,0.1744068335824186,0,946
85,3.995946878079628,0.9002359409397882,2.026466988156361,4.087880768283341,3.9245769655201044,0.4115756758083643,1.7078561352883503,9.70337708509887e-06,0.00036963692320356043,1,946
86,3.188635327580328,0.6510695223412968,1.4037448748171764,2.2983479312806456,3.169657681010328,0.8266480841084706,0.8989191310723686,0.7809144754604795,0.5697783064924085,0,951
87,3.9420616371273307,1.3152701916450307,1.6323739502145245,2.703619516202569,3.87452669628279,0.9154993645129482,1.812870783070735,0.7282739794566206,0.5679101933029237,1,951
88,3.2040167583971155,0.44011743584892604,1.4163862219680587,1.660681187951717,1.7386792912694535,0.45578123325530395,0.5167878017515206,7.654833241550144e-07,0.3480940854658431,0,952
89,2.9822450725327507,0.4601100236289787,1.170727006458356,2.4833157894768116,2.9063694040988883,0.6872434529906731,0.7440114758442591,0.7460810387643205,0.00041820709422351243,1,952
90,2.769363621912084,0.36189499642885614,0.5610077707467807,1.9237373367205095,2.609229550951384,0.5610930029901728,0.8597089517510337,7.76461950354237e-05,0.29136690844568547,0,955
91,3.0678219954611943,0.351007965425586,0.6773079981406464,0.7703100508665386,1.3465432635134824,0.26069812381528956,0.6184300909694982,2.12921818920947e-08,1.300049089623975e-11,1,955
92,1.8074706093326498,0.6234782996901613,0.7818546826156144,1.0847386975246052,0.8157716689542163,0.390170105234088,0.933087025770966,0.9738523893678477,0.3670583631170429,0,958
93,1.9317366170803623,-0.6645256171887521,1.172820987101923,0.9247675304953982,1.4478309810945247,0.48133006088064306,1.297902261509087,0.7591735472064166,0.6449768760266817,1,958
94,3.1338188390687622,0.22925070390045596,0.7511625570457773,2.722551817864915,1.9354969345943653,0.7024848815799564,0.7255196723989249,0.8460006541944692,0.6826613792816365,0,961
95,3.279821152639439,0.8594932193263795,0.9787120803259682,3.1534211226456224,3.9260728654268298,0.8219648153790243,2.1213752547263636,0.8007459872939079,0.5600237825001968,1,961
96,3.288715322889659,0.4576616119873593,1.7933462099028195,1.3312242064067727,1.4783503048026232,0.3522408640721898,0.016174911621676755,3.166870653258429e-06,0.16543209223533453,0,969
97,3.1666285306149264,0.880095789499334,1.5104489165827575,2.876370918921502,2.447925385433803,0.5379281699581049,1.1966703944334471,8.10939754099224e-07,0.6570129586259679,1,969
98,2.618674644327785,0.6070195367975367,2.535126161032465,3.8012945215689906,3.8878542081348977,0.4869054782377999,1.2017172053721084,0.6799839210606283,8.39693522567815e-05,0,978
