,Full_AIC,Full_BIC,sz_AIC,sz_BIC,sv_AIC,sv_BIC,st_AIC,st_BIC,st_sv_AIC,st_sv_BIC,st_sz_AIC,st_sz_BIC,sv_sz_AIC,sv_sz_BIC,no_AIC,no_BIC,subj_idx
0,597.6287679877771,628.8792040508204,590.0462606643631,614.3521553800634,590.0467212697596,614.3526159854599,589.5522214543113,613.8581161700116,591.5913214184161,619.3694868077879,652.4192973704678,680.1974627598396,597.1494690765537,624.9276344659255,588.0475796486741,608.8812036907029,205
1,371.2828194100586,402.60856972013653,373.3712991542672,397.73577161766116,367.67326797562305,392.037740439017,373.3715374347204,397.73600989811433,368.24763940244816,396.0927507891841,375.3712991558658,403.21641054260175,369.61187147348465,397.4569828602206,371.37120178491443,392.2550353249664,208
2,312.0042584240625,343.33000873414045,310.57327816297874,334.9377506263727,308.8415442071835,333.20601667057747,310.57035634980247,334.9348288131964,309.36866463186124,337.2137760185972,312.79709787859355,340.6422092653295,310.43393425525545,338.2790456419914,308.5623595228642,329.44619306291617,217
3,862.7108440914769,894.0365944015548,861.0071382610198,885.3716107244137,860.135364777948,884.4998372413419,856.7279213018812,881.0923937652751,887.6943486258461,915.539460012582,1109.3953290164368,1137.2404404031727,862.1992470312005,890.0443584179363,858.3855450614916,879.2693786015435,240
4,435.4118598110954,466.7376101211733,436.41916815049007,460.783640613884,435.4068101484446,459.77128261183856,434.1211401595414,458.4856126229354,433.4477570108121,461.29286839754803,436.22737903456914,464.0724904213051,437.2646481985005,465.1097595852364,434.3946988256482,455.2785323657002,241
5,390.21088675224826,421.5366370623262,401.3608007976368,425.72527326103074,386.2102413989504,410.57471386234437,401.36068583846406,425.725158301858,388.2113489131664,416.0564602999023,403.36282346548035,431.2079348522163,388.2308485220144,416.07595990875035,399.3606886013611,420.2445221414131,247
6,533.8692683017962,565.1574402691798,545.2248261921269,569.5600710556474,540.7416818309575,565.0769266944781,542.2698875832734,566.605132446794,539.5011659887961,567.3128744042482,543.8165582624574,571.6282666779096,541.3780909492987,569.1897993647508,543.2248308605797,564.0836121721687,274
7,851.671285884612,882.9970361946898,846.69611280797,871.060585271364,845.4526970689294,869.8171695323233,846.7192535175029,871.0837259808968,847.4584316515587,875.3035430382946,923.4372694923616,951.2823808790974,847.4602819253861,875.305393312122,844.6954437092045,865.5792772492564,280
8,375.3692777612038,406.69502807128174,377.59535292902916,401.9598253924231,377.75366111603154,402.1181335794255,374.62962857179923,398.9941010351932,375.6702944719314,403.51540585866735,376.33921137201037,404.1843227587463,378.2877525155334,406.1328639022693,376.3850784940768,397.2689120341288,340
9,842.6410959547724,873.0601721366365,851.5563092475228,875.215590722306,837.1726721189464,860.8319535937296,842.5207640670623,866.1800455418455,839.1683627592105,866.2075415875341,846.2093851188827,873.2485639472063,839.4485035364411,866.4876823647647,840.5111466068636,860.7905307281063,365
10,481.2028409238221,512.5285912339,475.85308257946946,500.2175550428634,476.39909874975365,500.7635712131476,473.1698093302649,497.53428179365886,475.065341680758,502.91045306749396,475.2961729421545,503.14128432889044,477.69783070538637,505.5429420921223,474.399066806542,495.282900346594,366
11,383.4478711895747,414.7736214996526,390.61655895716933,414.9810314205633,390.8152463515791,415.17971881497306,377.09534044308936,401.4598129064833,381.3920458151464,409.2371572018823,380.19971653842094,408.0448279251569,392.5152470466202,420.3603584333561,388.831980180155,409.715813720207,375
