SubjectID,Trial,Coherence,Direction,Response,RT
JC930,1,1.200000e-01,180,1,2.009203e+00
JC930,2,1.200000e-01,180,1,2.250873e+00
JC930,3,2.400000e-01,0,1,9.590089e-01
JC930,4,1,180,1,8.089740e-01
JC930,5,1.200000e-01,0,1,9.256649e-01
JC930,6,6.000000e-02,180,0,8.422990e-01
JC930,7,1.200000e-01,180,1,1.159329e+00
JC930,8,4.800000e-01,180,1,6.508610e-01
JC930,9,4.800000e-01,0,1,8.007300e-01
JC930,10,2.400000e-01,0,1,5.923419e-01
JC930,11,6.000000e-02,180,1,1.959450e+00
JC930,12,4.800000e-01,180,1,7.179360e-01
JC930,13,1.200000e-01,180,1,1.100967e+00
JC930,14,1,180,1,7.592850e-01
JC930,15,1,180,1,5.926700e-01
JC930,16,6.000000e-02,0,1,1.034091e+00
JC930,17,1,180,1,6.261702e-01
JC930,18,1,0,0,9.510620e-01
JC930,19,2.400000e-01,0,1,8.343432e-01
JC930,20,1.200000e-01,0,1,1.509092e+00
JC930,21,1,0,1,8.756640e-01
JC930,22,4.800000e-01,0,1,8.089921e-01
JC930,23,4.800000e-01,0,1,7.923179e-01
JC930,24,1.200000e-01,0,1,9.258459e-01
JC930,25,1.200000e-01,0,1,9.756300e-01
JC930,26,1.200000e-01,180,1,2.534233e+00
JC930,27,2.400000e-01,0,1,9.173920e-01
JC930,28,2.400000e-01,0,1,2.083989e+00
JC930,29,1,0,0,7.766871e-01
JC930,30,4.800000e-01,0,1,9.506900e-01
JC930,31,2.400000e-01,180,1,9.593592e-01
JC930,32,4.800000e-01,0,0,1.851190e+00
JC930,33,1,0,0,1.793639e+00
JC930,34,2.400000e-01,180,1,1.267801e+00
JC930,35,6.000000e-02,0,1,1.559239e+00
JC930,36,1,180,1,6.349239e-01
JC930,37,4.800000e-01,180,1,9.349751e-01
JC930,38,6.000000e-02,0,0,1.743434e+00
JC930,39,6.000000e-02,180,0,1.459150e+00
JC930,40,1,0,0,1.259075e+00
JC930,41,1.200000e-01,0,1,9.257078e-03
JC930,42,4.800000e-01,180,1,1.917822e+00
JC930,43,2.400000e-01,180,1,1.010225e+00
JC930,44,4.800000e-01,180,0,6.924241e-01
JC930,45,6.000000e-02,180,1,1.684150e+00
JC930,46,6.000000e-02,0,0,9.759679e-01
JC930,47,6.000000e-02,180,1,2.268387e+00
JC930,48,6.000000e-02,0,0,2.001135e+00
JC930,49,2.400000e-01,180,0,2.759597e+00
JC930,50,2.400000e-01,180,1,1.009433e+00
