SubjectID,Trial,Coherence,Direction,Response,RT
IC964,1,1,180,0,3.459383e+00
IC964,2,2.400000e-01,180,1,1.100816e+00
IC964,3,2.400000e-01,180,1,1.934102e+00
IC964,4,1,0,0,2.667404e+00
IC964,5,1.200000e-01,0,1,5.209707e+00
IC964,6,1,180,1,3.609566e+00
IC964,7,6.000000e-02,0,1,6.593381e+00
IC964,8,1.200000e-01,0,0,2.925864e+00
IC964,9,6.000000e-02,0,1,1.125872e+00
IC964,10,1.200000e-01,0,1,1.134019e+00
IC964,11,1.200000e-01,0,0,3.734452e+00
IC964,12,4.800000e-01,0,1,1.292440e+00
IC964,13,4.800000e-01,0,1,1.125749e+00
IC964,14,6.000000e-02,0,1,4.734559e+00
IC964,15,4.800000e-01,0,1,9.756091e-01
IC964,16,2.400000e-01,0,1,8.840899e-01
IC964,17,6.000000e-02,180,1,1.751725e+00
IC964,18,1.200000e-01,180,1,1.751229e+00
IC964,19,6.000000e-02,180,0,3.317817e+00
IC964,20,1.200000e-01,0,1,1.417379e+00
IC964,21,2.400000e-01,0,1,1.008968e+00
IC964,22,1,180,1,1.017194e+00
IC964,23,6.000000e-02,0,1,1.275909e+00
IC964,24,1,180,0,3.892877e+00
IC964,25,1,0,0,1.842280e+00
IC964,26,1.200000e-01,180,1,2.251088e+00
IC964,27,6.000000e-02,180,1,5.177527e+00
IC964,28,2.400000e-01,180,1,1.617605e+00
IC964,29,6.000000e-02,0,1,1.584386e+00
IC964,30,4.800000e-01,180,1,3.459513e+00
IC964,31,1.200000e-01,180,1,1.517526e+00
IC964,32,1,0,0,5.201449e+00
IC964,33,2.400000e-01,180,0,2.292792e+00
IC964,34,4.800000e-01,0,0,2.142490e+00
IC964,35,2.400000e-01,0,1,2.092792e+00
IC964,36,2.400000e-01,180,1,2.109503e+00
IC964,37,1,0,1,1.692654e+00
IC964,38,1,0,1,1.550974e+00
IC964,39,6.000000e-02,180,0,1.909241e+00
IC964,40,1,180,1,1.684300e+00
IC964,41,1.200000e-01,180,1,1.827216e+00
IC964,42,1.200000e-01,180,1,1.401014e+00
IC964,43,4.800000e-01,180,1,1.092209e+00
IC964,44,2.400000e-01,0,1,1.550894e+00
IC964,45,6.000000e-02,180,1,2.917504e+00
IC964,46,4.800000e-01,180,1,1.142178e+00
IC964,47,2.400000e-01,0,1,1.092807e+00
IC964,48,4.800000e-01,0,1,1.075691e+00
IC964,49,4.800000e-01,180,1,1.193450e+00
IC964,50,4.800000e-01,180,1,1.292418e+00
