SubjectID,Trial,Coherence,Direction,Response,RT
IC1012,1,2.400000e-01,180,1,1.950875e+00
IC1012,2,2.400000e-01,0,1,7.506361e-01
IC1012,3,1,0,1,6.589601e-01
IC1012,4,6.000000e-02,0,0,8.508189e-01
IC1012,5,1.200000e-01,0,0,1.058878e+00
IC1012,6,1.200000e-01,0,1,9.256790e-01
IC1012,7,4.800000e-01,180,1,1.158901e+00
IC1012,8,2.400000e-01,0,1,7.840259e-01
IC1012,9,2.400000e-01,0,1,1.275728e+00
IC1012,10,6.000000e-02,180,0,6.423471e-01
IC1012,11,1,0,0,6.091459e-01
IC1012,12,1,180,1,1.034127e+00
IC1012,13,2.400000e-01,180,1,1.035511e+00
IC1012,14,1.200000e-01,180,1,1.284143e+00
IC1012,15,6.000000e-02,180,1,1.576151e+00
IC1012,16,4.800000e-01,180,1,1.317748e+00
IC1012,17,2.400000e-01,0,1,9.757540e-01
IC1012,18,1.200000e-01,180,1,4.674721e-01
IC1012,19,6.000000e-02,180,0,5.257201e-01
IC1012,20,1.200000e-01,180,1,4.675288e-01
IC1012,21,2.400000e-01,0,1,7.591221e-01
IC1012,22,6.000000e-02,0,1,9.339521e-01
IC1012,23,1,0,1,7.756121e-01
IC1012,24,1,180,1,7.011681e-01
IC1012,25,1,180,0,1.750905e+00
IC1012,26,2.400000e-01,180,1,1.134519e+00
IC1012,27,1.200000e-01,0,0,1.059255e+00
IC1012,28,4.800000e-01,0,1,7.011259e-01
IC1012,29,4.800000e-01,0,1,9.173090e-01
IC1012,30,4.800000e-01,180,1,9.921999e-01
IC1012,31,6.000000e-02,180,0,7.341340e-01
IC1012,32,1.200000e-01,180,1,6.091089e-01
IC1012,33,1.200000e-01,0,0,8.265991e-01
IC1012,34,4.800000e-01,180,1,1.192174e+00
IC1012,35,1,180,0,1.975971e+00
IC1012,36,6.000000e-02,0,1,2.475899e+00
IC1012,37,1,180,1,4.951533e+00
IC1012,38,4.800000e-01,0,1,2.017666e+00
IC1012,39,1.200000e-01,0,1,1.218562e+01
IC1012,40,6.000000e-02,0,1,1.550824e+00
IC1012,41,1,0,1,8.255870e-01
IC1012,42,1,0,1,7.089100e-01
IC1012,43,4.800000e-01,180,1,8.601501e-01
IC1012,44,6.000000e-02,180,1,1.568335e+00
IC1012,45,4.800000e-01,0,1,1.125843e+00
IC1012,46,2.400000e-01,180,1,7.602270e-01
IC1012,47,4.800000e-01,0,1,8.089938e-01
IC1012,48,6.000000e-02,0,1,3.767820e+00
IC1012,49,2.400000e-01,180,1,6.681230e-01
IC1012,50,1.200000e-01,180,1,1.284338e+00
