"stim","response","rt","subj_idx"
6,0.733333333333333,1.061345295,"JB758"
12,0.816666666666667,0.99286574,"JB758"
24,0.95,0.809899978333333,"JB758"
48,0.983333333333333,0.773021336666667,"JB758"
100,0.983333333333333,0.67852777,"JB758"
