SubjectID,Trial,Coherence,Direction,Response,RT
JC876,1,1,180,1,2.383030e+00
JC876,2,1.200000e-01,180,1,3.342937e+00
JC876,3,1,180,1,5.506051e-01
JC876,4,2.400000e-01,0,1,7.840371e-01
JC876,5,6.000000e-02,0,1,3.342848e+00
JC876,6,4.800000e-01,0,1,6.674619e-01
JC876,7,1.200000e-01,0,1,1.500889e+00
JC876,8,4.800000e-01,180,1,8.931439e-01
JC876,9,1.200000e-01,0,1,7.008011e-01
JC876,10,6.000000e-02,0,1,1.267376e+00
JC876,11,6.000000e-02,180,0,5.784787e+00
JC876,12,4.800000e-01,180,1,9.927149e-01
JC876,13,4.800000e-01,0,1,6.008959e-01
JC876,14,1.200000e-01,0,1,6.089010e-01
JC876,15,2.400000e-01,180,1,5.759149e-01
JC876,16,2.400000e-01,180,1,1.101740e+00
JC876,17,6.000000e-02,0,1,1.267668e+00
JC876,18,4.800000e-01,0,1,7.340081e-01
JC876,19,2.400000e-01,0,1,6.673892e-01
JC876,20,2.400000e-01,0,1,8.840191e-01
JC876,21,6.000000e-02,180,0,8.424799e-01
JC876,22,1.200000e-01,0,1,9.425249e-01
JC876,23,2.400000e-01,0,1,5.674050e-01
JC876,24,6.000000e-02,0,1,2.267448e+00
JC876,25,6.000000e-02,180,1,1.284621e+00
JC876,26,1,0,1,5.507579e-01
JC876,27,4.800000e-01,180,1,5.758710e-01
JC876,28,1.200000e-01,180,1,2.425903e+00
JC876,29,6.000000e-02,180,0,7.841198e-01
JC876,30,1.200000e-01,180,1,1.142481e+00
JC876,31,6.000000e-02,0,1,3.451234e+00
JC876,32,1,180,1,5.344472e-01
JC876,33,4.800000e-01,180,1,5.922670e-01
JC876,34,6.000000e-02,180,1,2.884507e+00
JC876,35,2.400000e-01,180,1,5.923080e-01
JC876,36,1,0,1,6.425462e-01
JC876,37,4.800000e-01,0,1,5.506539e-01
JC876,38,4.800000e-01,0,1,5.089970e-01
JC876,39,1,180,1,6.171088e-01
JC876,40,2.400000e-01,180,1,5.504489e-01
JC876,41,1.200000e-01,180,1,3.341200e-01
JC876,42,1.200000e-01,0,1,4.590890e-01
JC876,43,2.400000e-01,0,1,5.089290e-01
JC876,44,1.200000e-01,180,1,6.597190e-01
JC876,45,4.800000e-01,180,1,7.347772e-01
JC876,46,1,180,1,5.094049e-01
JC876,47,1,0,1,5.507722e-01
JC876,48,1,0,1,5.505791e-01
JC876,49,2.400000e-01,180,1,5.267532e-01
JC876,50,1,0,0,7.510619e-01
