SubjectID,Trial,Coherence,Direction,Response,RT
IC1082,1,6.000000e-02,0,1,1.431505e+00
IC1082,2,1.200000e-01,180,1,1.117383e+00
IC1082,3,2.400000e-01,0,1,5.756140e-01
IC1082,4,2.400000e-01,0,1,6.755719e-01
IC1082,5,1,0,1,1.734087e+00
IC1082,6,2.400000e-01,180,1,1.076100e+00
IC1082,7,4.800000e-01,180,0,3.009315e+00
IC1082,8,1,0,1,1.867507e+00
IC1082,9,2.400000e-01,0,1,3.242740e+00
IC1082,10,6.000000e-02,180,0,3.892831e+00
IC1082,11,2.400000e-01,180,1,1.150830e+00
IC1082,12,1,0,1,8.173380e-01
IC1082,13,4.800000e-01,180,1,1.033892e+00
IC1082,14,4.800000e-01,0,1,7.339861e-01
IC1082,15,1.200000e-01,180,1,1.026308e+00
IC1082,16,2.400000e-01,0,1,3.760030e-01
IC1082,17,1.200000e-01,0,0,3.427742e-01
IC1082,18,1.200000e-01,180,1,9.509702e-01
IC1082,19,1.200000e-01,0,1,3.592200e-01
IC1082,20,1.200000e-01,0,0,3.177068e-01
IC1082,21,6.000000e-02,180,1,9.683270e-01
IC1082,22,2.400000e-01,180,0,4.924691e-01
IC1082,23,1.200000e-01,0,1,1.425697e+00
IC1082,24,6.000000e-02,0,0,1.758988e+00
IC1082,25,4.800000e-01,0,1,6.589088e-01
IC1082,26,4.800000e-01,180,1,1.059221e+00
IC1082,27,1,180,0,1.175971e+00
IC1082,28,6.000000e-02,0,0,8.588076e-03
IC1082,29,6.000000e-02,0,1,9.150028e-03
IC1082,30,2.400000e-01,0,0,8.941174e-03
IC1082,31,4.800000e-01,180,1,8.986950e-03
IC1082,32,6.000000e-02,180,0,2.907240e-01
IC1082,33,6.000000e-02,180,1,4.924281e-01
IC1082,34,1,0,0,2.484088e+00
IC1082,35,4.800000e-01,0,1,1.009099e+00
IC1082,36,4.800000e-01,180,1,1.083788e+00
IC1082,37,1,180,0,1.342516e+00
IC1082,38,6.000000e-02,0,1,4.151145e+00
IC1082,39,4.800000e-01,0,1,7.672491e-01
IC1082,40,2.400000e-01,180,0,4.234551e+00
IC1082,41,4.800000e-01,0,0,8.908033e-03
IC1082,42,1,180,0,9.260893e-03
IC1082,43,1,0,0,8.992910e-03
IC1082,44,1,180,1,8.949041e-03
IC1082,45,1.200000e-01,0,1,1.109125e+00
IC1082,46,1.200000e-01,180,1,8.926659e-01
IC1082,47,2.400000e-01,180,1,1.242563e+00
IC1082,48,6.000000e-02,180,0,2.025838e+00
IC1082,49,1,180,1,6.508939e-01
IC1082,50,1.200000e-01,180,0,2.217507e+00
