SubjectID,Trial,Coherence,Direction,Response,RT
IC988,1,1,0,0,2.926106e+00
IC988,2,2.400000e-01,0,1,8.007011e-01
IC988,3,4.800000e-01,180,1,8.673859e-01
IC988,4,1,180,0,2.959412e+00
IC988,5,4.800000e-01,0,1,1.409333e+00
IC988,6,4.800000e-01,0,1,1.934156e+00
IC988,7,1,0,1,3.142678e+00
IC988,8,1.200000e-01,180,1,2.109366e+00
IC988,9,2.400000e-01,0,1,1.317487e+00
IC988,10,1.200000e-01,0,0,2.676539e+00
IC988,11,1.200000e-01,0,1,1.350917e+00
IC988,12,1,180,0,1.025788e+00
IC988,13,2.400000e-01,0,1,2.134148e+00
IC988,14,1,0,1,1.809169e+00
IC988,15,4.800000e-01,0,1,1.217470e+00
IC988,16,2.400000e-01,0,1,8.006551e-01
IC988,17,2.400000e-01,180,0,7.672400e-01
IC988,18,4.800000e-01,180,1,9.601259e-01
IC988,19,6.000000e-02,0,0,1.017190e+00
IC988,20,1,180,0,9.145975e-03
IC988,21,4.800000e-01,0,1,1.550487e+00
IC988,22,2.400000e-01,180,0,1.042352e+00
IC988,23,4.800000e-01,180,1,9.171572e-01
IC988,24,1.200000e-01,180,1,1.042427e+00
IC988,25,2.400000e-01,180,1,1.067110e+00
IC988,26,1.200000e-01,180,1,1.384050e+00
IC988,27,2.400000e-01,0,1,9.089470e-01
IC988,28,6.000000e-02,0,0,1.017361e+00
IC988,29,1.200000e-01,0,1,2.659267e+00
IC988,30,1.200000e-01,180,0,1.084085e+00
IC988,31,6.000000e-02,180,1,1.075721e+00
IC988,32,6.000000e-02,180,1,9.506421e-01
IC988,33,6.000000e-02,180,0,1.042338e+00
IC988,34,4.800000e-01,180,1,8.953094e-03
IC988,35,6.000000e-02,0,0,1.109059e+00
IC988,36,1,180,0,6.838810e-01
IC988,37,2.400000e-01,180,1,2.276041e+00
IC988,38,1,180,1,2.184271e+00
IC988,39,1.200000e-01,0,0,2.050983e+00
IC988,40,1,0,1,2.926214e+00
IC988,41,1.200000e-01,0,1,3.709560e+00
IC988,42,4.800000e-01,0,0,1.409443e+00
IC988,43,1.200000e-01,180,1,2.534626e+00
IC988,44,2.400000e-01,180,1,2.617365e+00
IC988,45,6.000000e-02,180,1,3.584573e+00
IC988,46,1,0,1,3.434504e+00
IC988,47,6.000000e-02,180,1,2.726257e+00
IC988,48,6.000000e-02,0,0,2.726421e+00
IC988,49,6.000000e-02,0,0,3.009102e+00
IC988,50,4.800000e-01,180,0,4.424078e-01
