SubjectID,Trial,Coherence,Direction,Response,RT
LC903,1,1.200000e-01,0,1,1.317609e+00
LC903,2,1,0,1,9.256501e-01
LC903,3,4.800000e-01,0,1,7.089560e-01
LC903,4,4.800000e-01,180,1,5.839951e-01
LC903,5,2.400000e-01,180,0,5.839860e-01
LC903,6,6.000000e-02,180,1,7.091100e-01
LC903,7,6.000000e-02,0,1,2.617533e+00
LC903,8,1,0,1,7.421949e-01
LC903,9,2.400000e-01,0,1,4.172771e-01
LC903,10,1.200000e-01,180,1,7.507532e-01
LC903,11,2.400000e-01,0,1,5.590780e-01
LC903,12,1,0,1,7.006710e-01
LC903,13,4.800000e-01,180,1,5.256841e-01
LC903,14,6.000000e-02,0,1,9.840620e-01
LC903,15,4.800000e-01,0,0,4.670992e-01
LC903,16,6.000000e-02,0,1,1.459355e+00
LC903,17,4.800000e-01,0,1,7.840168e-01
LC903,18,2.400000e-01,180,1,7.839930e-01
LC903,19,4.800000e-01,0,1,6.844120e-01
LC903,20,1.200000e-01,180,1,2.126321e+00
LC903,21,6.000000e-02,180,1,9.590609e-01
LC903,22,4.800000e-01,0,1,5.506530e-01
LC903,23,4.800000e-01,180,1,6.260271e-01
LC903,24,2.400000e-01,0,1,1.142625e+00
LC903,25,2.400000e-01,0,1,7.173340e-01
LC903,26,1,180,1,7.676909e-01
LC903,27,6.000000e-02,180,1,7.344266e+00
LC903,28,1,180,1,9.513772e-01
LC903,29,1.200000e-01,0,1,8.174081e-01
LC903,30,2.400000e-01,180,0,4.909677e+00
LC903,31,1,180,1,6.925101e-01
LC903,32,2.400000e-01,0,1,6.006300e-01
LC903,33,1,180,1,6.260300e-01
LC903,34,4.800000e-01,180,0,5.757830e-01
LC903,35,1.200000e-01,0,0,1.176075e+00
LC903,36,1.200000e-01,180,1,5.609872e+00
LC903,37,2.400000e-01,180,1,1.284217e+00
LC903,38,6.000000e-02,0,0,8.006861e-01
LC903,39,2.400000e-01,180,1,1.076119e+00
LC903,40,1,180,1,9.757071e-01
LC903,41,1.200000e-01,0,0,1.175854e+00
LC903,42,6.000000e-02,0,0,1.376034e+00
LC903,43,1,0,1,8.090630e-01
LC903,44,6.000000e-02,180,1,1.750975e+00
LC903,45,1.200000e-01,180,1,1.526726e+00
LC903,46,6.000000e-02,180,1,2.092797e+00
LC903,47,1.200000e-01,0,1,5.268240e+00
LC903,48,4.800000e-01,180,0,1.375838e+00
LC903,49,1.200000e-01,180,1,1.125667e+00
LC903,50,1,0,1,1.109331e+00
