SubjectID,Trial,Coherence,Direction,Response,RT
HC1065,1,6.000000e-02,180,1,6.755660e-01
HC1065,2,2.400000e-01,0,1,3.173180e-01
HC1065,3,4.800000e-01,0,1,7.507141e-01
HC1065,4,2.400000e-01,180,1,5.174389e-01
HC1065,5,1.200000e-01,0,0,4.409800e+00
HC1065,6,4.800000e-01,0,1,7.425900e-01
HC1065,7,1.200000e-01,180,1,4.759159e-01
HC1065,8,1,0,1,5.424421e-01
HC1065,9,1.200000e-01,0,0,3.593042e-01
HC1065,10,1.200000e-01,180,1,8.674040e-01
HC1065,11,1,180,1,5.423551e-01
HC1065,12,1,180,1,5.677240e-01
HC1065,13,4.800000e-01,180,1,5.426142e-01
HC1065,14,6.000000e-02,180,1,4.755700e-01
HC1065,15,1,0,1,5.591888e-01
HC1065,16,4.800000e-01,0,1,5.840318e-01
HC1065,17,1,180,0,4.755940e-01
HC1065,18,1,0,1,7.006581e-01
HC1065,19,6.000000e-02,0,0,4.926958e-01
HC1065,20,2.400000e-01,0,1,6.423440e-01
HC1065,21,1.200000e-01,180,1,7.422481e-01
HC1065,22,2.400000e-01,180,1,1.642755e+00
HC1065,23,2.400000e-01,180,1,6.176970e-01
HC1065,24,1,180,1,5.755801e-01
HC1065,25,4.800000e-01,0,1,5.007179e-01
HC1065,26,6.000000e-02,0,0,5.344701e-01
HC1065,27,6.000000e-02,0,0,6.843531e-01
HC1065,28,6.000000e-02,180,0,6.008470e-01
HC1065,29,1,180,1,5.677938e-01
HC1065,30,6.000000e-02,180,0,4.089971e-01
HC1065,31,1.200000e-01,180,1,5.010550e-01
HC1065,32,2.400000e-01,0,0,1.167252e+00
HC1065,33,1.200000e-01,180,1,6.093760e-01
HC1065,34,1.200000e-01,0,1,7.258041e-01
HC1065,35,1,0,1,7.423358e-01
HC1065,36,1.200000e-01,0,0,6.096470e-01
HC1065,37,1.200000e-01,0,1,9.174700e-01
HC1065,38,2.400000e-01,0,1,4.340632e-01
HC1065,39,6.000000e-02,180,0,5.506499e-01
HC1065,40,4.800000e-01,180,1,1.259608e+00
HC1065,41,6.000000e-02,0,1,1.317684e+00
HC1065,42,2.400000e-01,0,0,6.185338e-01
HC1065,43,2.400000e-01,180,0,9.244204e-03
HC1065,44,6.000000e-02,0,1,7.075300e-01
HC1065,45,4.800000e-01,180,1,9.756711e-01
HC1065,46,1,0,1,5.591040e-01
HC1065,47,4.800000e-01,180,1,8.342102e-01
HC1065,48,4.800000e-01,0,1,6.257839e-01
HC1065,49,2.400000e-01,180,1,5.506279e-01
HC1065,50,4.800000e-01,180,1,8.926380e-01
