SubjectID,Trial,Coherence,Direction,Response,RT
IC955,1,4.800000e-01,0,0,3.526238e+00
IC955,2,6.000000e-02,0,1,3.067600e+00
IC955,3,1.200000e-01,180,1,1.409247e+00
IC955,4,4.800000e-01,180,1,1.492320e+00
IC955,5,6.000000e-02,0,1,1.384169e+00
IC955,6,1.200000e-01,0,1,1.542490e+00
IC955,7,4.800000e-01,0,1,6.101480e+00
IC955,8,1.200000e-01,180,1,2.051053e+00
IC955,9,1,0,1,1.000665e+00
IC955,10,4.800000e-01,180,1,8.681521e-01
IC955,11,1,180,1,1.200578e+00
IC955,12,1.200000e-01,0,1,2.984528e+00
IC955,13,2.400000e-01,0,0,1.075576e+00
IC955,14,1,180,1,8.511040e-01
IC955,15,1.200000e-01,180,1,9.092629e-01
IC955,16,4.800000e-01,0,1,8.923559e-01
IC955,17,6.000000e-02,180,0,5.084736e+00
IC955,18,1,0,1,8.757031e-01
IC955,19,6.000000e-02,0,0,7.761178e-01
IC955,20,6.000000e-02,0,1,1.642675e+00
IC955,21,4.800000e-01,0,1,1.300772e+00
IC955,22,6.000000e-02,180,1,7.505510e-01
IC955,23,1.200000e-01,180,1,3.588331e-01
IC955,24,2.400000e-01,0,0,9.421809e-01
IC955,25,1,180,1,9.088070e-01
IC955,26,1,180,1,5.338769e-01
IC955,27,6.000000e-02,180,0,1.200947e+00
IC955,28,1,0,1,1.284227e+00
IC955,29,1.200000e-01,0,1,1.075666e+00
IC955,30,4.800000e-01,180,1,8.758841e-01
IC955,31,6.000000e-02,0,1,1.134274e+00
IC955,32,2.400000e-01,0,1,7.423980e-01
IC955,33,4.800000e-01,180,1,9.508572e-01
IC955,34,2.400000e-01,180,1,4.384960e+00
IC955,35,2.400000e-01,180,1,1.393282e+00
IC955,36,1,0,1,1.150779e+00
IC955,37,2.400000e-01,180,1,3.159319e+00
IC955,38,4.800000e-01,180,1,9.008939e-01
IC955,39,6.000000e-02,180,0,1.801000e+00
IC955,40,6.000000e-02,180,1,7.758050e-01
IC955,41,1.200000e-01,0,0,1.875550e+00
IC955,42,1.200000e-01,0,1,5.757859e-01
IC955,43,1.200000e-01,180,0,3.088720e-01
IC955,44,2.400000e-01,180,1,3.592978e+00
IC955,45,1,180,1,6.587901e-01
IC955,46,2.400000e-01,0,1,7.091560e-01
IC955,47,4.800000e-01,0,1,5.059714e+00
IC955,48,2.400000e-01,180,1,1.034681e+00
IC955,49,2.400000e-01,0,1,9.342179e-01
IC955,50,1,0,1,6.423578e-01
