SubjectID,Trial,Coherence,Direction,Response,RT
HC1079,1,2.400000e-01,0,1,4.392837e+00
HC1079,2,4.800000e-01,180,1,4.734371e+00
HC1079,3,4.800000e-01,180,1,1.392412e+00
HC1079,4,2.400000e-01,180,1,1.133979e+00
HC1079,5,6.000000e-02,180,0,7.593837e+00
HC1079,6,1.200000e-01,180,1,9.588659e-01
HC1079,7,1,0,0,1.392432e+00
HC1079,8,1,180,0,4.543163e+00
HC1079,9,2.400000e-01,180,1,1.517433e+00
HC1079,10,4.800000e-01,180,1,2.567652e+00
HC1079,11,1,0,0,1.067238e+00
HC1079,12,6.000000e-02,180,0,2.313440e+01
HC1079,13,2.400000e-01,0,0,3.766281e+00
HC1079,14,1,0,0,1.275582e+00
HC1079,15,1.200000e-01,0,1,4.209514e+00
HC1079,16,1.200000e-01,0,0,1.858968e+00
HC1079,17,1.200000e-01,0,1,1.784237e+00
HC1079,18,1,0,0,1.243708e+00
HC1079,19,4.800000e-01,0,1,1.992468e+00
HC1079,20,1,180,0,3.467856e+00
HC1079,21,1.200000e-01,0,1,9.135752e+00
HC1079,22,1.200000e-01,0,1,1.767545e+00
HC1079,23,6.000000e-02,0,1,4.726434e+00
HC1079,24,4.800000e-01,0,0,5.234846e+00
HC1079,25,6.000000e-02,180,0,3.434552e+00
HC1079,26,1,0,1,2.709239e+00
HC1079,27,2.400000e-01,180,0,5.843144e+00
HC1079,28,1,180,0,6.459866e+00
HC1079,29,2.400000e-01,180,0,3.259545e+00
HC1079,30,6.000000e-02,180,1,1.192239e+00
HC1079,31,6.000000e-02,0,1,4.717976e+00
HC1079,32,6.000000e-02,0,0,3.734236e+00
HC1079,33,6.000000e-02,0,0,1.325691e+00
HC1079,34,4.800000e-01,0,1,6.341472e-01
HC1079,35,1.200000e-01,180,0,1.217332e+00
HC1079,36,1.200000e-01,180,1,4.338639e-01
HC1079,37,1,180,1,4.876168e+00
HC1079,38,1.200000e-01,180,0,2.251080e+00
HC1079,39,2.400000e-01,0,0,4.182541e-01
HC1079,40,2.400000e-01,0,1,5.256782e-01
HC1079,41,6.000000e-02,180,0,1.126287e+01
HC1079,42,4.800000e-01,180,1,3.459422e+00
HC1079,43,4.800000e-01,0,1,1.351011e+00
HC1079,44,4.800000e-01,0,1,2.375957e+00
HC1079,45,6.000000e-02,0,0,5.701665e+00
HC1079,46,1.200000e-01,180,0,1.075934e+00
HC1079,47,1,180,1,8.926868e-03
HC1079,48,2.400000e-01,0,1,4.691451e+00
HC1079,49,4.800000e-01,180,1,1.158812e+00
HC1079,50,2.400000e-01,180,1,1.992418e+00
